date_calculated,date_end,slice,state,city,market,cbsa,geo_code,population,current_price,loan,equity,market_cagr,noi_cap_rate_compounded,fixed_interest_rate,operation_cashflow,market_cap_appreciation_bp,irr,npv,equity_multiple,demand_vs_supply,demand_yoy_growth,supply_yoy_growth,horizon
2025-03-31,2030-03-31,Class A,California,San Jose,"San Jose,California",41940,G2-41940,2005317.0,593699.7262,415589.80834,178109.91786000005,0.06909794252726398,0.036303102042067915,0.07150000000000002,-0.035196897957932106,60.465820133685995,0.14934128451397854,80965.16938518125,2.0930504469964943,0.9395255907262269,0.03693554416278699,0.028845984931513913,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,California,San Jose,"San Jose,California",41940,G2-41940,2005317.0,498315.4519,348820.81632999994,149494.63557000004,0.07086017147465884,0.03803382191607094,0.07150000000000001,-0.03346617808392907,63.144154846667966,0.15767973294592386,75614.84724588753,2.160391527619415,0.9469426943780744,0.008971063765721432,0.008533993291892195,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,California,San Jose,"San Jose,California",41940,G2-41940,2005317.0,402494.6882,281746.28173999995,120748.40646000003,0.06787160752517463,0.03669712176254455,0.07150000000000001,-0.03480287823745546,58.586299419403005,0.1475743634499862,53304.69101048398,2.0729776084385265,0.9585377035124111,-0.00154913474093743,-0.00040433910772630366,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,Florida,Sarasota,"Sarasota,Florida",35840,G2-35840,941682.9375,309974.324,216982.0268,92992.29720000003,0.05620511386939553,0.03547737342593064,0.07150000000000001,-0.03602262657406937,56.91174417734098,0.1164090158512201,23126.501464378423,1.805261901240483,0.8769316023098813,0.08887110358798389,0.06540413571415105,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,Florida,Sarasota,"Sarasota,Florida",35840,G2-35840,941682.9375,269911.8835,188938.31845,80973.56505,0.05770546945850885,0.03881964411498167,0.07150000000000002,-0.03268035588501835,57.234577834607,0.1282800753991462,25588.59071317558,1.8921746944066031,0.8836691754499114,0.05896843542931429,0.04157842179854132,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Florida,Sarasota,"Sarasota,Florida",35840,G2-35840,941682.9375,164936.9129,115455.83902999999,49481.07387000001,0.0576057362197715,0.054417401094278874,0.07150000000000001,-0.017082598905721134,57.107061147690025,0.16721296350214532,26072.074507784702,2.1500572990582145,0.9317587055166101,-0.0010120770584665095,-0.0004285868927256242,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,Pennsylvania,Scranton,"Scranton,Pennsylvania",42540,G2-42540,573998.0,296014.2539,207209.97772999998,88804.27617000003,0.05550789875599493,0.030750393214458972,0.07150000000000001,-0.040749606785541036,65.677091479302,0.10346617738016906,15642.284020497435,1.7120366350717982,0.9550736550723812,0.01604741269255472,0.028015317995883304,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,Pennsylvania,Scranton,"Scranton,Pennsylvania",42540,G2-42540,573998.0,145061.5834,101543.10837999999,43518.47502000001,0.04939545242191512,0.05722329417734554,0.07150000000000001,-0.014276705822654466,65.2547925710681,0.15599523640009072,19447.572198348535,2.028260350052099,0.9145452123179633,0.0002677103069708142,0.0018817932572099405,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Pennsylvania,Scranton,"Scranton,Pennsylvania",42540,G2-42540,573998.0,70711.7099,49498.19693,21213.512970000003,0.05112322722004814,0.09983975230281145,0.07150000000000001,0.02833975230281144,66.01214408874498,0.2716474915496401,22242.421054703416,2.773571310765616,0.9627464425855621,-0.00013095822692654746,0.0002900547966322442,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,Washington,Seattle,"Seattle,Washington",42660,G2-42660,4175042.0,506780.5952,354746.41663999995,152034.17856000003,0.054753347646570916,0.027816193208058698,0.07150000000000001,-0.04368380679194131,44.552572071552,0.09406360216782605,18911.40999673339,1.6475463052752846,0.9255007291629388,0.03125149273205463,0.028719784736871645,5 Yrs Ahead (2025-2030)
